Column1,Tool Title,Link,Location_x,ngrams,Internal Search:Term (v33),Unique Visitors,Internal Search: Search (event7),Internal Search: Click Through (event11),Internal Search CTR,normalized_search_term,Location_y,Actual,Match
0,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z site,a-z site,51,237,263,1.109704641,a z site,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
1,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,site list,site list,34,42,29,0.69047619,site list,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
2,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,sharepoint site,Sharepoint Site,12,16,7,0.4375,sharepoint site,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
3,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z sharepoint,a-z sharepoint,45,77,65,0.844155844,a z sharepoint,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
4,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z list,a-z list,532,1751,1915,1.093660765,a z list,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
5,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z list,a z list,11,18,23,1.277777778,a z list,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
6,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z,a-z,4595,19957,22759,1.140401864,a z,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
7,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z,a z,51,194,207,1.067010309,a z,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
8,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z,a/z,28,135,142,1.051851852,a z,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
9,A - Z SharePoint site list NW,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,northwest,a z,a=z,15,18,17,0.944444444,a z,northwest,https://sp-cloud.kp.org/sites/nwsp/SitePages/A-Z-SharePoint-List.aspx,TRUE
